ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ITL3,TLI63,"Merton, Kingston upon Thames and Sutton",8158,8661,9118,9390,9622,10095,10517,11086,11622,12349,12516,11668,11825,11913,12465,12790,13644,13835,14659,14553,14682,15133,13515,13893,14969
ITL2,TLI7,Outer London - West and North West,33724,35947,37859,38972,40126,41941,43228,45339,48130,50690,51727,48783,49821,51098,54304,57331,61990,64736,66958,67902,69347,71165,60333,61009,66927
ITL3,TLI71,Barnet,4150,4456,4638,4808,5014,5307,5504,5773,6161,6457,6483,6181,6270,6380,6938,7172,7663,7958,8279,8272,8575,8823,8381,8778,9633
ITL3,TLI72,Brent,4044,4376,4604,4759,4918,5081,5183,5494,5837,6078,6136,5779,5885,5993,6500,6893,7520,7985,8305,8376,8422,8975,8188,8317,8967
ITL3,TLI73,Ealing,4740,5044,5270,5458,5609,5890,6066,6325,6674,7017,7096,6637,6749,6919,7469,7989,8591,8997,9374,9103,9234,9302,8839,8786,8984
ITL3,TLI74,Harrow and Hillingdon,11231,11856,12392,12562,12858,13527,14004,14561,14919,15491,15540,14161,14588,15125,15334,16128,17720,18218,18144,18847,19326,19625,15399,15860,17370
ITL3,TLI75,Hounslow and Richmond upon Thames,9559,10215,10955,11384,11727,12136,12470,13185,14539,15647,16472,16025,16329,16680,18063,19149,20497,21577,22856,23303,23790,24441,19526,19269,21972
ITL1,TLJ,South East,135784,142253,149139,154960,161984,169994,175576,184712,192742,201273,212418,208492,213954,219835,227574,235761,245450,255001,261141,270971,280535,296218,291964,307222,336218
ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",44931,47442,50131,51634,54152,57690,58692,61921,64213,67363,70705,69460,70996,73845,76465,78989,82857,86088,87268,90273,94733,100111,101164,106346,116001
ITL3,TLJ11,Berkshire,20623,22124,23475,23951,24929,26721,27457,29100,30227,31711,32991,32720,33167,34658,36094,36874,38245,39405,40562,41795,44226,46509,47235,49830,54689
ITL3,TLJ12,Milton Keynes,5154,5344,5697,6078,6538,7109,7090,7467,7853,8279,8579,8268,8672,9007,9243,9791,10910,12188,11988,13011,13511,13869,13442,14314,15040
ITL3,TLJ13,Buckinghamshire CC,8258,8653,9078,9412,9697,10169,10287,10866,11202,11723,12417,12133,12228,12685,12980,13382,13784,13893,14211,14402,14938,16144,15859,16685,18054
ITL3,TLJ14,Oxfordshire CC,10895,11321,11881,12193,12989,13691,13858,14489,14931,15650,16719,16338,16929,17494,18148,18942,19918,20601,20508,21065,22059,23589,24628,25517,28218
ITL2,TLJ2,"Surrey, East and West Sussex",41857,44530,46613,48398,50220,52048,53366,55837,59640,61727,65266,64313,65758,66345,69243,72035,74772,77763,79853,82713,84802,88802,86540,91329,99982
ITL3,TLJ21,Brighton and Hove,3347,3570,3752,4023,4189,4349,4514,4844,5218,5402,5699,5751,5755,5865,6343,6750,7054,7325,7744,8104,8454,8885,8733,9623,11263
